Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
18-06-1985,,,24.1,94.0,25.0,0.0,0.0,0.0,0.0,N 
19-06-1985,,,24.7,86.0,26.0,0.0,0.0,0.0,0.0,N 
20-06-1985,,,23.2,94.0,324.0,0.0,0.0,0.0,0.0,N 
21-06-1985,,,23.1,97.0,304.0,0.0,0.0,0.0,0.0,N 
22-06-1985,,,23.6,94.0,4.0,0.0,0.0,0.0,0.0,N 
23-06-1985,,,25.7,91.0,25.0,0.0,0.0,0.0,0.0,N 
24-06-1985,,,23.6,86.0,0.7,0.0,0.0,0.0,0.0,N 
25-06-1985,,,23.1,80.0,0.0,0.0,0.0,0.0,0.0,N 
26-06-1985,,,23.0,79.0,0.0,0.0,0.0,0.0,0.0,N 
27-06-1985,,,23.6,76.0,0.0,0.0,0.0,0.0,0.0,N 
28-06-1985,,,22.7,80.0,0.0,0.0,0.0,0.0,0.0,N 
29-06-1985,,,22.0,84.0,0.0,0.0,0.0,0.0,0.0,N 
30-06-1985,,,23.8,88.0,0.0,0.0,0.0,0.0,0.0,N 
01-07-1985,,,24.0,90.0,0.0,0.0,0.0,0.0,0.0,N 
02-07-1985,,,24.4,86.0,0.0,0.0,0.0,0.0,0.0,N 
03-07-1985,,,25.0,87.0,0.0,0.0,0.0,0.0,0.0,N 
04-07-1985,,,24.7,82.0,0.0,0.0,0.0,0.0,0.0,N 
05-07-1985,,,21.7,97.0,36.0,0.0,0.0,0.0,0.0,N 
06-07-1985,,,22.8,95.0,40.0,0.0,0.0,0.0,0.0,N 
07-07-1985,,,23.8,90.0,0.0,0.0,0.0,0.0,0.0,N 
08-07-1985,,,23.3,92.0,4.0,0.0,0.0,0.0,0.0,N 
09-07-1985,,,23.7,91.0,15.0,0.0,0.0,0.0,0.0,N 
10-07-1985,,,24.4,84.0,0.0,0.0,0.0,0.0,0.0,N 
11-07-1985,,,24.2,84.0,0.0,0.0,0.0,0.0,0.0,N 
12-07-1985,,,24.6,84.0,0.0,0.0,0.0,0.0,0.0,N 
13-07-1985,,,25.0,83.0,0.0,0.0,0.0,0.0,0.0,N 
14-07-1985,,,23.9,88.0,0.0,0.0,0.0,0.0,0.0,N 
15-07-1985,,,22.4,98.0,2.0,0.0,0.0,0.0,0.0,N 
16-07-1985,,,23.8,92.0,3.0,0.0,0.0,0.0,0.0,N 
17-07-1985,,,21.7,99.0,52.0,0.0,0.0,0.0,0.0,N 
18-07-1985,,,23.0,96.0,40.0,0.0,0.0,0.0,0.0,N 
19-07-1985,,,23.6,92.0,4.0,0.0,0.0,0.0,0.0,N 
20-07-1985,,,23.7,93.0,4.0,0.0,0.0,0.0,0.0,N 
21-07-1985,,,23.2,89.0,0.0,0.0,0.0,0.0,0.0,N 
22-07-1985,,,24.0,84.0,0.0,0.0,0.0,0.0,0.0,N 
23-07-1985,,,24.8,85.0,0.0,0.0,0.0,0.0,0.0,N 
24-07-1985,,,24.4,84.0,0.0,0.0,0.0,0.0,0.0,N 
25-07-1985,,,24.5,86.0,0.0,0.0,0.0,0.0,0.0,N 
26-07-1985,,,25.1,86.0,0.0,0.0,0.0,0.0,0.0,N 
27-07-1985,,,24.0,86.0,2.0,0.0,0.0,0.0,0.0,N 
28-07-1985,,,24.1,83.0,0.0,0.0,0.0,0.0,0.0,N 
29-07-1985,,,24.7,88.0,6.0,0.0,0.0,0.0,0.0,N 
30-07-1985,,,24.7,84.0,0.0,0.0,0.0,0.0,0.0,N 
31-07-1985,,,25.0,88.0,1.0,0.0,0.0,0.0,0.0,N 
01-08-1985,,,24.5,91.0,1.0,0.0,0.0,0.0,0.0,N 
02-08-1985,,,25.2,84.0,0.0,0.0,0.0,0.0,0.0,N 
03-08-1985,,,25.4,86.0,0.0,0.0,0.0,0.0,0.0,N 
04-08-1985,,,25.6,85.0,5.0,0.0,0.0,0.0,0.0,N 
05-08-1985,,,25.4,85.0,0.0,0.0,0.0,0.0,0.0,N 
06-08-1985,,,23.0,89.0,0.0,0.0,0.0,0.0,0.0,N 
07-08-1985,,,24.2,92.0,5.0,0.0,0.0,0.0,0.0,N 
08-08-1985,,,24.1,84.0,1.0,0.0,0.0,0.0,0.0,N 
09-08-1985,,,24.1,91.0,1.0,0.0,0.0,0.0,0.0,N 
10-08-1985,,,25.0,86.0,0.0,0.0,0.0,0.0,0.0,N 
11-08-1985,,,24.7,91.0,88.0,0.0,0.0,0.0,0.0,N 
12-08-1985,,,23.4,86.0,30.0,0.0,0.0,0.0,0.0,N 
13-08-1985,,,24.3,88.0,0.0,0.0,0.0,0.0,0.0,N 
14-08-1985,,,24.5,87.0,0.0,0.0,0.0,0.0,0.0,N 
15-08-1985,,,24.8,90.0,0.0,0.0,0.0,0.0,0.0,N 
16-08-1985,,,25.1,88.0,19.0,0.0,0.0,0.0,0.0,N 
17-08-1985,,,23.7,84.0,3.0,0.0,0.0,0.0,0.0,N 
18-08-1985,,,23.6,94.0,3.0,0.0,0.0,0.0,0.0,N 
19-08-1985,,,24.5,82.0,56.0,0.0,0.0,0.0,0.0,N 
20-08-1985,,,25.5,86.0,0.0,0.0,0.0,0.0,0.0,N 
21-08-1985,,,25.5,87.0,0.0,0.0,0.0,0.0,0.0,N 
22-08-1985,,,24.6,86.0,0.0,0.0,0.0,0.0,0.0,N 
23-08-1985,,,24.2,93.0,0.0,0.0,0.0,0.0,0.0,N 
24-08-1985,,,23.4,92.0,40.0,0.0,0.0,0.0,0.0,N 
25-08-1985,,,24.0,88.0,24.0,0.0,0.0,0.0,0.0,N 
26-08-1985,,,24.1,97.0,0.0,0.0,0.0,0.0,0.0,N 
27-08-1985,,,23.8,96.0,16.0,0.0,0.0,0.0,0.0,N 
28-08-1985,,,24.8,85.0,2.0,0.0,0.0,0.0,0.0,N 
29-08-1985,,,25.5,85.0,1.0,0.0,0.0,0.0,0.0,N 
30-08-1985,,,24.5,92.0,32.0,0.0,0.0,0.0,0.0,N 
31-08-1985,,,25.8,88.0,82.0,0.0,0.0,0.0,0.0,N 
01-09-1985,,,23.5,95.0,0.0,0.0,0.0,0.0,0.0,N 
02-09-1985,,,25.3,88.0,12.0,0.0,0.0,0.0,0.0,N 
03-09-1985,,,23.3,94.0,0.0,0.0,0.0,0.0,0.0,N 
04-09-1985,,,22.9,94.0,0.0,0.0,0.0,0.0,0.0,N 
05-09-1985,,,24.4,86.0,0.0,0.0,0.0,0.0,0.0,N 
06-09-1985,,,25.4,84.0,0.0,0.0,0.0,0.0,0.0,N 
07-09-1985,,,24.6,90.0,0.0,0.0,0.0,0.0,0.0,N 
08-09-1985,,,23.8,94.0,5.0,0.0,0.0,0.0,0.0,N 
09-09-1985,,,24.9,85.0,3.0,0.0,0.0,0.0,0.0,N 
10-09-1985,,,24.3,91.0,0.0,0.0,0.0,0.0,0.0,N 
11-09-1985,,,22.0,98.0,89.0,0.0,0.0,0.0,0.0,N 
12-09-1985,,,22.4,94.0,19.0,0.0,0.0,0.0,0.0,N 
13-09-1985,,,23.8,93.0,1.8,0.0,0.0,0.0,0.0,N 
